Phenotype,N,Pct,Prevalence,Prev_95CI,Mean_Risk,Dominant_Domain,Gate_Weights,Key_Features
Cluster 0,1340,63.7%,0.650,(0.625-0.676),0.569,Obst,D=0.33 O=0.34 P=0.33,Relationship with Mother in-law(+0.50); Total Number of Children(+0.08); Number of sons (+0.05)
Cluster 1,762,36.3%,0.644,(0.609-0.676),0.574,Obst,D=0.35 O=0.40 P=0.25,Relationship with Mother in-law(-0.89); Total Number of Children(-0.13); Number of sons (-0.10)
