Model,N,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1,MCC,ROC-AUC,PR-AUC,Brier
TH-DAT (Pakistan),2102,1162,315,425,200,0.703,0.732,0.853,0.426,0.788,0.31,0.714,0.802,0.205
TH-DAT (Uganda),2149,415,1367,287,80,0.829,0.591,0.838,0.826,0.693,0.597,0.904,0.757,0.132
Random Forest,2102,1303,560,180,59,0.886,0.879,0.957,0.757,0.916,0.748,0.955,0.973,0.091
XGBoost,2102,1254,537,203,108,0.852,0.861,0.921,0.726,0.89,0.669,0.883,0.902,0.119
Logistic Regression,2102,764,411,329,598,0.559,0.699,0.561,0.555,0.622,0.111,0.573,0.697,0.247
