Cohort,N,AUC,Brier,ECE,Brier_Platt,ECE_Platt
Pakistan,2102,0.715 (0.693-0.737),0.205,0.098,0.195,0.028
Uganda,2149,0.904 (0.889-0.917),0.132,0.155,0.101,0.032
